city,population,region_name,lat,lon,federal_district,region_iso_code,fias_id,kladr_id
Алейск,29.0,Алтайский край,,,,,,
Барнаул,632.4,Алтайский край,,,,,,
Белокуриха,15.2,Алтайский край,,,,,,
Бийск,199.5,Алтайский край,,,,,,
Горняк,12.3,Алтайский край,,,,,,
Заринск,45.9,Алтайский край,,,,,,
Змеиногорск,10.2,Алтайский край,,,,,,
Камень-на-Оби,40.5,Алтайский край,,,,,,
Новоалтайск,74.6,Алтайский край,,,,,,
Рубцовск,141.6,Алтайский край,,,,,,
Славгород,29.1,Алтайский край,,,,,,
Яровое,18.1,Алтайский край,,,,,,
Белогорск,65.3,Амурская область,,,,,,
Благовещенск,226.4,Амурская область,,,,,,
Завитинск,10.2,Амурская область,,,,,,
Зея,23.0,Амурская область,,,,,,
Райчихинск,16.8,Амурская область,,,,,,
Свободный,54.0,Амурская область,,,,,,
Сковородино,8.9,Амурская область,,,,,,
Тында,33.2,Амурская область,,,,,,
Циолковский,7.2,Амурская область,,,,,,
Шимановск,18.6,Амурская область,,,,,,
Архангельск,347.0,Архангельская область,,,,,,
Вельск,22.3,Архангельская область,,,,,,
Каргополь,10.0,Архангельская область,,,,,,
Коряжма,35.7,Архангельская область,,,,,,
Котлас,62.0,Архангельская область,,,,,,
Мезень,3.2,Архангельская область,,,,,,
Мирный,32.9,Архангельская область,,,,,,
Нарьян-Мар,25.1,Архангельская область,,,,,,
Новодвинск,37.7,Архангельская область,,,,,,
Няндома,19.1,Архангельская область,,,,,,
Онега,18.5,Архангельская область,,,,,,
Северодвинск,182.0,Архангельская область,,,,,,
Сольвычегодск,1.9,Архангельская область,,,,,,
Шенкурск,4.7,Архангельская область,,,,,,
Астрахань,529.8,Астраханская область,,,,,,
Ахтубинск,36.5,Астраханская область,,,,,,
Знаменск,26.7,Астраханская область,,,,,,
Камызяк,15.7,Астраханская область,,,,,,
Нариманов,10.8,Астраханская область,,,,,,
Харабали,17.5,Астраханская область,,,,,,
Алексеевка,37.8,Белгородская область,,,,,,
Белгород,394.1,Белгородская область,,,,,,
Бирюч,7.5,Белгородская область,,,,,,
Валуйки,34.2,Белгородская область,,,,,,
Грайворон,6.5,Белгородская область,,,,,,
Губкин,86.2,Белгородская область,,,,,,
Короча,5.8,Белгородская область,,,,,,
Новый Оскол,18.5,Белгородская область,,,,,,
Старый Оскол,223.9,Белгородская область,,,,,,
Строитель,24.1,Белгородская область,,,,,,
Шебекино,40.9,Белгородская область,,,,,,
Брянск,402.7,Брянская область,,,,,,
Дятьково,26.2,Брянская область,,,,,,
Жуковка,16.4,Брянская область,,,,,,
Злынка,5.3,Брянская область,,,,,,
Карачев,17.2,Брянская область,,,,,,
Клинцы,63.0,Брянская область,,,,,,
Мглин,7.1,Брянская область,,,,,,
Новозыбков,39.5,Брянская область,,,,,,
Почеп,16.4,Брянская область,,,,,,
Севск,6.6,Брянская область,,,,,,
Сельцо,16.4,Брянская область,,,,,,
Стародуб,18.2,Брянская область,,,,,,
Сураж,10.7,Брянская область,,,,,,
Трубчевск,13.6,Брянская область,,,,,,
Унеча,22.8,Брянская область,,,,,,
Фокино,12.8,Брянская область,,,,,,
Александров,57.9,Владимирская область,,,,,,
Владимир,356.9,Владимирская область,,,,,,
Вязники,34.5,Владимирская область,,,,,,
Гороховец,12.6,Владимирская область,,,,,,
Гусь-Хрустальный,52.8,Владимирская область,,,,,,
Камешково,12.0,Владимирская область,,,,,,
Карабаново,14.9,Владимирская область,,,,,,
Киржач,26.7,Владимирская область,,,,,,
Ковров,135.7,Владимирская область,,,,,,
Кольчугино,42.0,Владимирская область,,,,,,
Костерево,8.1,Владимирская область,,,,,,
Курлово,5.8,Владимирская область,,,,,,
Лакинск,14.1,Владимирская область,,,,,,
Меленки,13.5,Владимирская область,,,,,,
Муром,107.0,Владимирская область,,,,,,
Петушки,12.5,Владимирская область,,,,,,
Покров,16.7,Владимирская область,,,,,,
Радужный,18.3,Владимирская область,,,,,,
Собинка,17.3,Владимирская область,,,,,,
Струнино,12.9,Владимирская область,,,,,,
Судогда,10.1,Владимирская область,,,,,,
Суздаль,9.6,Владимирская область,,,,,,
Юрьев-Польский,18.1,Владимирская область,,,,,,
Волгоград,1009.0,Волгоградская область,,,,,,
Волжский,323.9,Волгоградская область,,,,,,
Дубовка,13.7,Волгоградская область,,,,,,
Жирновск,15.5,Волгоградская область,,,,,,
Калач-на-Дону,23.6,Волгоградская область,,,,,,
Камышин,109.9,Волгоградская область,,,,,,
Котельниково,20.4,Волгоградская область,,,,,,
Котово,21.4,Волгоградская область,,,,,,
Краснослободск,17.1,Волгоградская область,,,,,,
Ленинск,14.4,Волгоградская область,,,,,,
Михайловка,57.4,Волгоградская область,,,,,,
Николаевск,13.4,Волгоградская область,,,,,,
Новоаннинский,15.9,Волгоградская область,,,,,,
Палласовка,14.5,Волгоградская область,,,,,,
Петров Вал,12.4,Волгоградская область,,,,,,
Серафимович,8.6,Волгоградская область,,,,,,
Суровикино,18.2,Волгоградская область,,,,,,
Урюпинск,36.7,Волгоградская область,,,,,,
Фролово,36.2,Волгоградская область,,,,,,
Бабаево,11.4,Вологодская область,,,,,,
Белозерск,8.6,Вологодская область,,,,,,
Великий Устюг,31.0,Вологодская область,,,,,,
Вологда,310.3,Вологодская область,,,,,,
Вытегра,10.2,Вологодская область,,,,,,
Грязовец,14.8,Вологодская область,,,,,,
Кадников,4.5,Вологодская область,,,,,,
Кириллов,7.5,Вологодская область,,,,,,
Красавино,5.9,Вологодская область,,,,,,
Никольск,7.9,Вологодская область,,,,,,
Сокол,36.4,Вологодская область,,,,,,
Тотьма,9.7,Вологодская область,,,,,,
Устюжна,8.4,Вологодская область,,,,,,
Харовск,8.8,Вологодская область,,,,,,
Череповец,314.8,Вологодская область,,,,,,
Бобров,20.0,Воронежская область,,,,,,
Богучар,11.0,Воронежская область,,,,,,
Борисоглебск,59.9,Воронежская область,,,,,,
Бутурлиновка,24.0,Воронежская область,,,,,,
Воронеж,1058.3,Воронежская область,,,,,,
Калач,18.2,Воронежская область,,,,,,
Лиски,53.5,Воронежская область,,,,,,
Нововоронеж,31.5,Воронежская область,,,,,,
Новохоперск,5.9,Воронежская область,,,,,,
Острогожск,31.8,Воронежская область,,,,,,
Павловск,24.5,Воронежская область,,,,,,
Поворино,16.7,Воронежская область,,,,,,
Россошь,62.6,Воронежская область,,,,,,
Семилуки,27.0,Воронежская область,,,,,,
Эртиль,10.1,Воронежская область,,,,,,
Биробиджан,71.8,Еврейская автономная область,,,,,,
Облучье,8.4,Еврейская автономная область,,,,,,
Балей,10.7,Забайкальский край,,,,,,
Борзя,29.2,Забайкальский край,,,,,,
Краснокаменск,51.4,Забайкальский край,,,,,,
Могоча,13.0,Забайкальский край,,,,,,
Нерчинск,14.7,Забайкальский край,,,,,,
Петровск-Забайкальский,15.8,Забайкальский край,,,,,,
Сретенск,6.4,Забайкальский край,,,,,,
Хилок,10.3,Забайкальский край,,,,,,
Чита,351.8,Забайкальский край,,,,,,
Шилка,12.5,Забайкальский край,,,,,,
Вичуга,33.3,Ивановская область,,,,,,
Гаврилов Посад,5.6,Ивановская область,,,,,,
Заволжск,9.6,Ивановская область,,,,,,
Иваново,404.6,Ивановская область,,,,,,
Кинешма,81.0,Ивановская область,,,,,,
Комсомольск,8.0,Ивановская область,,,,,,
Кохма,30.2,Ивановская область,,,,,,
Наволоки,9.1,Ивановская область,,,,,,
Плес,1.7,Ивановская область,,,,,,
Приволжск,15.3,Ивановская область,,,,,,
Пучеж,6.3,Ивановская область,,,,,,
Родники,23.9,Ивановская область,,,,,,
Тейково,31.8,Ивановская область,,,,,,
Фурманов,33.2,Ивановская область,,,,,,
Шуя,57.0,Ивановская область,,,,,,
Южа,12.2,Ивановская область,,,,,,
Юрьевец,7.9,Ивановская область,,,,,,
Алзамай,5.7,Иркутская область,,,,,,
Ангарск,224.6,Иркутская область,,,,,,
Байкальск,12.5,Иркутская область,,,,,,
Бирюсинск,8.4,Иркутская область,,,,,,
Бодайбо,12.0,Иркутская область,,,,,,
Братск,226.3,Иркутская область,,,,,,
Вихоревка,20.8,Иркутская область,,,,,,
Железногорск-Илимский,22.9,Иркутская область,,,,,,
Зима,30.5,Иркутская область,,,,,,
Иркутск,623.6,Иркутская область,,,,,,
Киренск,11.0,Иркутская область,,,,,,
Нижнеудинск,33.6,Иркутская область,,,,,,
Саянск,38.8,Иркутская область,,,,,,
Свирск,12.7,Иркутская область,,,,,,
Слюдянка,18.2,Иркутская область,,,,,,
Тайшет,32.7,Иркутская область,,,,,,
Тулун,39.7,Иркутская область,,,,,,
Усолье-Сибирское,76.0,Иркутская область,,,,,,
Усть-Илимск,80.4,Иркутская область,,,,,,
Усть-Кут,40.8,Иркутская область,,,,,,
Черемхово,50.1,Иркутская область,,,,,,
Шелехов,48.4,Иркутская область,,,,,,
Баксан,38.5,Кабардино-Балкарская Республика,,,,,,
Майский,26.7,Кабардино-Балкарская Республика,,,,,,
Нальчик,239.6,Кабардино-Балкарская Республика,,,,,,
Нарткала,30.6,Кабардино-Балкарская Республика,,,,,,
Прохладный,58.2,Кабардино-Балкарская Республика,,,,,,
Терек,19.5,Кабардино-Балкарская Республика,,,,,,
Тырныауз,20.6,Кабардино-Балкарская Республика,,,,,,
Чегем,18.4,Кабардино-Балкарская Республика,,,,,,
Багратионовск,6.4,Калининградская область,,,,,,
Балтийск,33.7,Калининградская область,,,,,,
Гвардейск,13.3,Калининградская область,,,,,,
Гурьевск,19.3,Калининградская область,,,,,,
Гусев,28.5,Калининградская область,,,,,,
Зеленоградск,16.5,Калининградская область,,,,,,
Калининград,489.3,Калининградская область,,,,,,
Краснознаменск,3.1,Калининградская область,,,,,,
Ладушкин,3.9,Калининградская область,,,,,,
Мамоново,8.0,Калининградская область,,,,,,
Неман,10.8,Калининградская область,,,,,,
Нестеров,3.9,Калининградская область,,,,,,
Озерск,3.8,Калининградская область,,,,,,
Пионерский,12.2,Калининградская область,,,,,,
Полесск,6.9,Калининградская область,,,,,,
Правдинск,4.0,Калининградская область,,,,,,
Приморск,1.9,Калининградская область,,,,,,
Светлогорск,15.2,Калининградская область,,,,,,
Светлый,21.6,Калининградская область,,,,,,
Славск,4.0,Калининградская область,,,,,,
Советск,39.0,Калининградская область,,,,,,
Черняховск,35.4,Калининградская область,,,,,,
Балабаново,25.6,Калужская область,,,,,,
Белоусово,10.2,Калужская область,,,,,,
Боровск,10.3,Калужская область,,,,,,
Ермолино,10.1,Калужская область,,,,,,
Жиздра,5.4,Калужская область,,,,,,
Жуков,13.7,Калужская область,,,,,,
Калуга,332.0,Калужская область,,,,,,
Киров,29.9,Калужская область,,,,,,
Козельск,16.4,Калужская область,,,,,,
Кондрово,14.6,Калужская область,,,,,,
Кременки,10.3,Калужская область,,,,,,
Людиново,37.3,Калужская область,,,,,,
Малоярославец,27.8,Калужская область,,,,,,
Медынь,8.2,Калужская область,,,,,,
Мещовск,3.8,Калужская область,,,,,,
Мосальск,4.2,Калужская область,,,,,,
Обнинск,117.4,Калужская область,,,,,,
Сосенский,10.4,Калужская область,,,,,,
Спас-Деменск,4.3,Калужская область,,,,,,
Сухиничи,14.8,Калужская область,,,,,,
Таруса,9.2,Калужская область,,,,,,
Юхнов,5.8,Калужская область,,,,,,
Вилючинск,22.2,Камчатский край,,,,,,
Елизово,39.3,Камчатский край,,,,,,
Петропавловск-Камчатский,179.6,Камчатский край,,,,,,
Карачаевск,20.8,Карачаево-Черкесская Республика,,,,,,
Теберда,8.6,Карачаево-Черкесская Республика,,,,,,
Усть-Джегута,30.6,Карачаево-Черкесская Республика,,,,,,
Черкесск,123.2,Карачаево-Черкесская Республика,,,,,,
Анжеро-Судженск,68.1,Кемеровская область - Кузбасс,,,,,,
Белово,71.2,Кемеровская область - Кузбасс,,,,,,
Березовский,45.6,Кемеровская область - Кузбасс,,,,,,
Гурьевск,22.4,Кемеровская область - Кузбасс,,,,,,
Калтан,20.4,Кемеровская область - Кузбасс,,,,,,
Кемерово,556.4,Кемеровская область - Кузбасс,,,,,,
Киселевск,86.6,Кемеровская область - Кузбасс,,,,,,
Ленинск-Кузнецкий,94.4,Кемеровская область - Кузбасс,,,,,,
Мариинск,37.9,Кемеровская область - Кузбасс,,,,,,
Междуреченск,96.3,Кемеровская область - Кузбасс,,,,,,
Мыски,40.8,Кемеровская область - Кузбасс,,,,,,
Новокузнецк,549.4,Кемеровская область - Кузбасс,,,,,,
Осинники,41.7,Кемеровская область - Кузбасс,,,,,,
Полысаево,25.9,Кемеровская область - Кузбасс,,,,,,
Прокопьевск,190.3,Кемеровская область - Кузбасс,,,,,,
Салаир,7.3,Кемеровская область - Кузбасс,,,,,,
Тайга,23.1,Кемеровская область - Кузбасс,,,,,,
Таштагол,22.9,Кемеровская область - Кузбасс,,,,,,
Топки,27.8,Кемеровская область - Кузбасс,,,,,,
Юрга,80.8,Кемеровская область - Кузбасс,,,,,,
Белая Холуница,10.1,Кировская область,,,,,,
Вятские Поляны,31.9,Кировская область,,,,,,
Зуевка,10.2,Кировская область,,,,,,
Киров,518.3,Кировская область,,,,,,
Кирово-Чепецк,69.8,Кировская область,,,,,,
Кирс,9.2,Кировская область,,,,,,
Котельнич,22.9,Кировская область,,,,,,
Луза,9.9,Кировская область,,,,,,
Малмыж,7.2,Кировская область,,,,,,
Мураши,5.9,Кировская область,,,,,,
Нолинск,9.6,Кировская область,,,,,,
Омутнинск,21.6,Кировская область,,,,,,
Орлов,6.4,Кировская область,,,,,,
Слободской,31.9,Кировская область,,,,,,
Советск,15.2,Кировская область,,,,,,
Сосновка,10.7,Кировская область,,,,,,
Уржум,9.8,Кировская область,,,,,,
Яранск,15.5,Кировская область,,,,,,
Буй,23.2,Костромская область,,,,,,
Волгореченск,16.3,Костромская область,,,,,,
Галич,16.8,Костромская область,,,,,,
Кологрив,2.9,Костромская область,,,,,,
Кострома,276.9,Костромская область,,,,,,
Макарьев,6.4,Костромская область,,,,,,
Мантурово,15.0,Костромская область,,,,,,
Нерехта,20.9,Костромская область,,,,,,
Нея,8.6,Костромская область,,,,,,
Солигалич,5.9,Костромская область,,,,,,
Чухлома,4.9,Костромская область,,,,,,
Шарья,23.5,Костромская область,,,,,,
Абинск,39.1,Краснодарский край,,,,,,
Анапа,88.9,Краснодарский край,,,,,,
Апшеронск,39.5,Краснодарский край,,,,,,
Армавир,189.0,Краснодарский край,,,,,,
Белореченск,51.6,Краснодарский край,,,,,,
Геленджик,76.8,Краснодарский край,,,,,,
Горячий Ключ,40.3,Краснодарский край,,,,,,
Гулькевичи,34.3,Краснодарский край,,,,,,
Ейск,83.1,Краснодарский край,,,,,,
Кореновск,42.4,Краснодарский край,,,,,,
Краснодар,932.6,Краснодарский край,,,,,,
Кропоткин,77.7,Краснодарский край,,,,,,
Крымск,57.9,Краснодарский край,,,,,,
Курганинск,48.2,Краснодарский край,,,,,,
Лабинск,59.3,Краснодарский край,,,,,,
Новокубанск,35.2,Краснодарский край,,,,,,
Новороссийск,275.0,Краснодарский край,,,,,,
Приморско-Ахтарск,32.3,Краснодарский край,,,,,,
Славянск-на-Кубани,67.9,Краснодарский край,,,,,,
Сочи,443.6,Краснодарский край,,,,,,
Темрюк,41.4,Краснодарский край,,,,,,
Тимашевск,50.8,Краснодарский край,,,,,,
Тихорецк,57.1,Краснодарский край,,,,,,
Туапсе,61.2,Краснодарский край,,,,,,
Усть-Лабинск,39.5,Краснодарский край,,,,,,
Хадыженск,22.2,Краснодарский край,,,,,,
Артемовск,1.6,Красноярский край,,,,,,
Ачинск,105.5,Красноярский край,,,,,,
Боготол,19.6,Красноярский край,,,,,,
Бородино,16.1,Красноярский край,,,,,,
Дивногорск,29.2,Красноярский край,,,,,,
Дудинка,20.8,Красноярский край,,,,,,
Енисейск,17.8,Красноярский край,,,,,,
Железногорск,82.6,Красноярский край,,,,,,
Заозерный,10.2,Красноярский край,,,,,,
Зеленогорск,61.6,Красноярский край,,,,,,
Игарка,4.3,Красноярский край,,,,,,
Иланский,14.9,Красноярский край,,,,,,
Канск,88.9,Красноярский край,,,,,,
Кодинск,15.7,Красноярский край,,,,,,
Красноярск,1093.8,Красноярский край,,,,,,
Лесосибирск,59.3,Красноярский край,,,,,,
Минусинск,67.9,Красноярский край,,,,,,
Назарово,49.7,Красноярский край,,,,,,
Норильск,181.8,Красноярский край,,,,,,
Сосновоборск,41.1,Красноярский край,,,,,,
Ужур,15.3,Красноярский край,,,,,,
Уяр,11.9,Красноярский край,,,,,,
Шарыпово,36.7,Красноярский край,,,,,,
Далматово,12.2,Курганская область,,,,,,
Катайск,12.4,Курганская область,,,,,,
Курган,312.4,Курганская область,,,,,,
Куртамыш,16.5,Курганская область,,,,,,
Макушино,7.7,Курганская область,,,,,,
Петухово,10.0,Курганская область,,,,,,
Шадринск,74.7,Курганская область,,,,,,
Шумиха,17.2,Курганская область,,,,,,
Щучье,9.5,Курганская область,,,,,,
Дмитриев-Льговский,6.3,Курская область,,,,,,
Железногорск,100.4,Курская область,,,,,,
Курск,453.0,Курская область,,,,,,
Курчатов,38.1,Курская область,,,,,,
Льгов,18.1,Курская область,,,,,,
Обоянь,13.2,Курская область,,,,,,
Рыльск,16.0,Курская область,,,,,,
Суджа,5.6,Курская область,,,,,,
Фатеж,6.1,Курская область,,,,,,
Щигры,15.0,Курская область,,,,,,
Бокситогорск,15.1,Ленинградская область,,,,,,
Волосово,11.8,Ленинградская область,,,,,,
Волхов,44.3,Ленинградская область,,,,,,
Всеволожск,74.7,Ленинградская область,,,,,,
Выборг,75.4,Ленинградская область,,,,,,
Высоцк,1.1,Ленинградская область,,,,,,
Гатчина,91.7,Ленинградская область,,,,,,
Ивангород,9.5,Ленинградская область,,,,,,
Каменногорск,6.3,Ленинградская область,,,,,,
Кингисепп,45.2,Ленинградская область,,,,,,
Кириши,50.5,Ленинградская область,,,,,,
Кировск,26.9,Ленинградская область,,,,,,
Коммунар,22.2,Ленинградская область,,,,,,
Кудрово,41.1,Ленинградская область,,,,,,
Лодейное Поле,19.0,Ленинградская область,,,,,,
Луга,34.6,Ленинградская область,,,,,,
Любань,4.4,Ленинградская область,,,,,,
Мурино,64.9,Ленинградская область,,,,,,
Никольское,22.4,Ленинградская область,,,,,,
Новая Ладога,8.0,Ленинградская область,,,,,,
Отрадное,25.8,Ленинградская область,,,,,,
Пикалево,19.7,Ленинградская область,,,,,,
Подпорожье,16.7,Ленинградская область,,,,,,
Приморск,5.6,Ленинградская область,,,,,,
Приозерск,17.8,Ленинградская область,,,,,,
Светогорск,15.2,Ленинградская область,,,,,,
Сертолово,56.6,Ленинградская область,,,,,,
Сланцы,32.2,Ленинградская область,,,,,,
Сосновый Бор,67.7,Ленинградская область,,,,,,
Сясьстрой,12.4,Ленинградская область,,,,,,
Тихвин,58.1,Ленинградская область,,,,,,
Тосно,36.3,Ленинградская область,,,,,,
Шлиссельбург,14.9,Ленинградская область,,,,,,
Грязи,46.7,Липецкая область,,,,,,
Данков,18.7,Липецкая область,,,,,,
Елец,102.3,Липецкая область,,,,,,
Задонск,9.5,Липецкая область,,,,,,
Лебедянь,19.2,Липецкая область,,,,,,
Липецк,508.6,Липецкая область,,,,,,
Усмань,19.6,Липецкая область,,,,,,
Чаплыгин,11.8,Липецкая область,,,,,,
Магадан,92.1,Магаданская область,,,,,,
Сусуман,4.4,Магаданская область,,,,,,
Москва,12655.1,Москва,,,,,,
Апрелевка,30.7,Московская область,,,,,,
Балашиха,507.4,Московская область,,,,,,
Белоозерский,17.898,Московская область,,,,,,
Бронницы,22.5,Московская область,,,,,,
Верея,5.1,Московская область,,,,,,
Видное,77.0,Московская область,,,,,,
Волоколамск,18.4,Московская область,,,,,,
Воскресенск,92.9,Московская область,,,,,,
Высоковск,10.4,Московская область,,,,,,
Голицыно,17.5,Московская область,,,,,,
Дедовск,30.5,Московская область,,,,,,
Дзержинский,56.4,Московская область,,,,,,
Дмитров,68.8,Московская область,,,,,,
Долгопрудный,116.0,Московская область,,,,,,
Домодедово,137.2,Московская область,,,,,,
Дрезна,11.3,Московская область,,,,,,
Дубна,75.0,Московская область,,,,,,
Егорьевск,72.8,Московская область,,,,,,
Жуковский,107.6,Московская область,,,,,,
Зарайск,22.8,Московская область,,,,,,
Звенигород,22.3,Московская область,,,,,,
Ивантеевка,81.3,Московская область,,,,,,
Истра,33.6,Московская область,,,,,,
Кашира,47.4,Московская область,,,,,,
Клин,79.7,Московская область,,,,,,
Коломна,140.1,Московская область,,,,,,
Королев,225.9,Московская область,,,,,,
Котельники,49.0,Московская область,,,,,,
Красноармейск,26.3,Московская область,,,,,,
Красногорск,175.6,Московская область,,,,,,
Краснозаводск,12.8,Московская область,,,,,,
Краснознаменск,43.2,Московская область,,,,,,
Кубинка,20.1,Московская область,,,,,,
Куровское,20.6,Московская область,,,,,,
Ликино-Дулево,28.8,Московская область,,,,,,
Лобня,90.2,Московская область,,,,,,
Лосино-Петровский,25.4,Московская область,,,,,,
Луховицы,30.4,Московская область,,,,,,
Лыткарино,59.2,Московская область,,,,,,
Люберцы,205.3,Московская область,,,,,,
Можайск,30.1,Московская область,,,,,,
Мытищи,235.5,Московская область,,,,,,
Наро-Фоминск,64.9,Московская область,,,,,,
Ногинск,104.0,Московская область,,,,,,
Одинцово,135.5,Московская область,,,,,,
Озеры,24.7,Московская область,,,,,,
Орехово-Зуево,118.3,Московская область,,,,,,
Павловский Посад,63.6,Московская область,,,,,,
Пересвет,13.4,Московская область,,,,,,
Подольск,308.1,Московская область,,,,,,
Протвино,35.4,Московская область,,,,,,
Пушкино,107.6,Московская область,,,,,,
Пущино,20.7,Московская область,,,,,,
Раменское,121.9,Московская область,,,,,,
Реутов,108.1,Московская область,,,,,,
Рошаль,20.0,Московская область,,,,,,
Руза,12.7,Московская область,,,,,,
Сергиев Посад,100.3,Московская область,,,,,,
Серпухов,126.3,Московская область,,,,,,
Солнечногорск,50.2,Московская область,,,,,,
Старая Купавна,24.2,Московская область,,,,,,
Ступино,65.9,Московская область,,,,,,
Талдом,12.6,Московская область,,,,,,
Фрязино,59.5,Московская область,,,,,,
Химки,259.6,Московская область,,,,,,
Хотьково,21.3,Московская область,,,,,,
Черноголовка,21.3,Московская область,,,,,,
Чехов,72.3,Московская область,,,,,,
Шатура,32.0,Московская область,,,,,,
Щелково,126.1,Московская область,,,,,,
Электрогорск,22.7,Московская область,,,,,,
Электросталь,156.0,Московская область,,,,,,
Электроугли,21.3,Московская область,,,,,,
Яхрома,14.1,Московская область,,,,,,
Апатиты,54.7,Мурманская область,,,,,,
Гаджиево,13.1,Мурманская область,,,,,,
Заозерск,9.3,Мурманская область,,,,,,
Заполярный,14.7,Мурманская область,,,,,,
Кандалакша,30.4,Мурманская область,,,,,,
Кировск,26.0,Мурманская область,,,,,,
Ковдор,16.3,Мурманская область,,,,,,
Кола,9.7,Мурманская область,,,,,,
Мончегорск,41.2,Мурманская область,,,,,,
Мурманск,287.8,Мурманская область,,,,,,
Оленегорск,20.3,Мурманская область,,,,,,
Островной,1.7,Мурманская область,,,,,,
Полярные Зори,14.2,Мурманская область,,,,,,
Полярный,17.5,Мурманская область,,,,,,
Североморск,53.6,Мурманская область,,,,,,
Снежногорск,12.8,Мурманская область,,,,,,
Арзамас,104.0,Нижегородская область,,,,,,
Балахна,48.5,Нижегородская область,,,,,,
Богородск,33.8,Нижегородская область,,,,,,
Бор,76.9,Нижегородская область,,,,,,
Ветлуга,8.3,Нижегородская область,,,,,,
Володарск,9.9,Нижегородская область,,,,,,
Ворсма,10.3,Нижегородская область,,,,,,
Выкса,53.0,Нижегородская область,,,,,,
Горбатов,1.8,Нижегородская область,,,,,,
Городец,29.7,Нижегородская область,,,,,,
Дзержинск,229.0,Нижегородская область,,,,,,
Заволжье,37.6,Нижегородская область,,,,,,
Княгинино,6.5,Нижегородская область,,,,,,
Кстово,67.8,Нижегородская область,,,,,,
Кулебаки,31.8,Нижегородская область,,,,,,
Лукоянов,13.8,Нижегородская область,,,,,,
Лысково,21.1,Нижегородская область,,,,,,
Навашино,14.6,Нижегородская область,,,,,,
Нижний Новгород,1252.2,Нижегородская область,,,,,,
Павлово,56.7,Нижегородская область,,,,,,
Первомайск,13.3,Нижегородская область,,,,,,
Перевоз,8.7,Нижегородская область,,,,,,
Саров,96.1,Нижегородская область,,,,,,
Семенов,24.1,Нижегородская область,,,,,,
Сергач,19.9,Нижегородская область,,,,,,
Урень,12.3,Нижегородская область,,,,,,
Чкаловск,11.3,Нижегородская область,,,,,,
Шахунья,19.7,Нижегородская область,,,,,,
Боровичи,49.0,Новгородская область,,,,,,
Валдай,14.0,Новгородская область,,,,,,
Великий Новгород,224.9,Новгородская область,,,,,,
Малая Вишера,10.3,Новгородская область,,,,,,
Окуловка,9.8,Новгородская область,,,,,,
Пестово,15.0,Новгородская область,,,,,,
Сольцы,8.5,Новгородская область,,,,,,
Старая Русса,27.7,Новгородская область,,,,,,
Холм,3.4,Новгородская область,,,,,,
Чудово,13.9,Новгородская область,,,,,,
Барабинск,28.7,Новосибирская область,,,,,,
Бердск,104.3,Новосибирская область,,,,,,
Болотное,15.5,Новосибирская область,,,,,,
Искитим,56.0,Новосибирская область,,,,,,
Карасук,26.8,Новосибирская область,,,,,,
Каргат,9.0,Новосибирская область,,,,,,
Куйбышев,43.5,Новосибирская область,,,,,,
Купино,13.8,Новосибирская область,,,,,,
Новосибирск,1625.6,Новосибирская область,,,,,,
Обь,29.9,Новосибирская область,,,,,,
