city,population,region_name,lat,lon,federal_district,region_iso_code,fias_id,kladr_id
Татарск,23.4,Новосибирская область,,,,,,
Тогучин,20.8,Новосибирская область,,,,,,
Черепаново,19.1,Новосибирская область,,,,,,
Чулым,11.0,Новосибирская область,,,,,,
Исилькуль,22.4,Омская область,,,,,,
Калачинск,22.6,Омская область,,,,,,
Называевск,10.9,Омская область,,,,,,
Омск,1154.5,Омская область,,,,,,
Тара,28.2,Омская область,,,,,,
Тюкалинск,10.3,Омская область,,,,,,
Абдулино,18.6,Оренбургская область,,,,,,
Бугуруслан,48.5,Оренбургская область,,,,,,
Бузулук,86.1,Оренбургская область,,,,,,
Гай,33.8,Оренбургская область,,,,,,
Кувандык,23.3,Оренбургская область,,,,,,
Медногорск,24.6,Оренбургская область,,,,,,
Новотроицк,83.7,Оренбургская область,,,,,,
Оренбург,572.2,Оренбургская область,,,,,,
Орск,226.5,Оренбургская область,,,,,,
Соль-Илецк,26.9,Оренбургская область,,,,,,
Сорочинск,27.1,Оренбургская область,,,,,,
Ясный,15.3,Оренбургская область,,,,,,
Болхов,10.9,Орловская область,,,,,,
Дмитровск,5.0,Орловская область,,,,,,
Ливны,47.2,Орловская область,,,,,,
Малоархангельск,3.2,Орловская область,,,,,,
Мценск,36.6,Орловская область,,,,,,
Новосиль,3.1,Орловская область,,,,,,
Орел,308.8,Орловская область,,,,,,
Белинский,7.5,Пензенская область,,,,,,
Городище,7.7,Пензенская область,,,,,,
Заречный,65.5,Пензенская область,,,,,,
Каменка,34.6,Пензенская область,,,,,,
Кузнецк,80.5,Пензенская область,,,,,,
Нижний Ломов,20.5,Пензенская область,,,,,,
Никольск,19.6,Пензенская область,,,,,,
Пенза,520.3,Пензенская область,,,,,,
Сердобск,30.9,Пензенская область,,,,,,
Спасск,7.0,Пензенская область,,,,,,
Сурск,5.9,Пензенская область,,,,,,
Александровск,11.9,Пермский край,,,,,,
Березники,139.2,Пермский край,,,,,,
Верещагино,21.3,Пермский край,,,,,,
Горнозаводск,11.2,Пермский край,,,,,,
Гремячинск,8.2,Пермский край,,,,,,
Губаха,19.1,Пермский край,,,,,,
Добрянка,32.1,Пермский край,,,,,,
Кизел,13.5,Пермский край,,,,,,
Красновишерск,14.8,Пермский край,,,,,,
Краснокамск,52.5,Пермский край,,,,,,
Кудымкар,30.4,Пермский край,,,,,,
Кунгур,64.9,Пермский край,,,,,,
Лысьва,60.3,Пермский край,,,,,,
Нытва,18.1,Пермский край,,,,,,
Оса,20.8,Пермский край,,,,,,
Оханск,7.0,Пермский край,,,,,,
Очер,14.2,Пермский край,,,,,,
Пермь,1055.4,Пермский край,,,,,,
Соликамск,92.6,Пермский край,,,,,,
Усолье,6.3,Пермский край,,,,,,
Чайковский,82.4,Пермский край,,,,,,
Чердынь,4.6,Пермский край,,,,,,
Чермоз,3.3,Пермский край,,,,,,
Чернушка,33.1,Пермский край,,,,,,
Чусовой,43.7,Пермский край,,,,,,
Арсеньев,52.2,Приморский край,,,,,,
Артем,105.7,Приморский край,,,,,,
Большой Камень,39.1,Приморский край,,,,,,
Владивосток,606.6,Приморский край,,,,,,
Дальнегорск,34.1,Приморский край,,,,,,
Дальнереченск,25.1,Приморский край,,,,,,
Лесозаводск,35.1,Приморский край,,,,,,
Находка,145.2,Приморский край,,,,,,
Партизанск,36.6,Приморский край,,,,,,
Спасск-Дальний,39.8,Приморский край,,,,,,
Уссурийск,173.6,Приморский край,,,,,,
Фокино,22.9,Приморский край,,,,,,
Великие Луки,90.9,Псковская область,,,,,,
Гдов,3.3,Псковская область,,,,,,
Дно,7.4,Псковская область,,,,,,
Невель,14.5,Псковская область,,,,,,
Новоржев,3.1,Псковская область,,,,,,
Новосокольники,7.0,Псковская область,,,,,,
Опочка,9.5,Псковская область,,,,,,
Остров,20.5,Псковская область,,,,,,
Печоры,9.3,Псковская область,,,,,,
Порхов,8.3,Псковская область,,,,,,
Псков,210.3,Псковская область,,,,,,
Пустошка,3.9,Псковская область,,,,,,
Пыталово,5.4,Псковская область,,,,,,
Себеж,5.3,Псковская область,,,,,,
Адыгейск,12.7,Республика Адыгея,,,,,,
Майкоп,141.5,Республика Адыгея,,,,,,
Горно-Алтайск,64.5,Республика Алтай,,,,,,
Агидель,14.2,Республика Башкортостан,,,,,,
Баймак,17.2,Республика Башкортостан,,,,,,
Белебей,59.2,Республика Башкортостан,,,,,,
Белорецк,64.9,Республика Башкортостан,,,,,,
Бирск,46.5,Республика Башкортостан,,,,,,
Благовещенск,34.8,Республика Башкортостан,,,,,,
Давлеканово,23.4,Республика Башкортостан,,,,,,
Дюртюли,31.0,Республика Башкортостан,,,,,,
Ишимбай,64.4,Республика Башкортостан,,,,,,
Кумертау,59.5,Республика Башкортостан,,,,,,
Межгорье,15.5,Республика Башкортостан,,,,,,
Мелеуз,56.7,Республика Башкортостан,,,,,,
Нефтекамск,131.1,Республика Башкортостан,,,,,,
Октябрьский,114.1,Республика Башкортостан,,,,,,
Салават,150.5,Республика Башкортостан,,,,,,
Сибай,60.8,Республика Башкортостан,,,,,,
Стерлитамак,276.4,Республика Башкортостан,,,,,,
Туймазы,68.2,Республика Башкортостан,,,,,,
Уфа,1128.8,Республика Башкортостан,,,,,,
Учалы,37.9,Республика Башкортостан,,,,,,
Янаул,25.1,Республика Башкортостан,,,,,,
Бабушкин,4.5,Республика Бурятия,,,,,,
Гусиноозерск,23.0,Республика Бурятия,,,,,,
Закаменск,11.2,Республика Бурятия,,,,,,
Кяхта,20.3,Республика Бурятия,,,,,,
Северобайкальск,23.2,Республика Бурятия,,,,,,
Улан-Удэ,439.1,Республика Бурятия,,,,,,
Буйнакск,65.7,Республика Дагестан,,,,,,
Дагестанские Огни,29.7,Республика Дагестан,,,,,,
Дербент,125.8,Республика Дагестан,,,,,,
Избербаш,60.5,Республика Дагестан,,,,,,
Каспийск,124.0,Республика Дагестан,,,,,,
Кизилюрт,37.7,Республика Дагестан,,,,,,
Кизляр,49.4,Республика Дагестан,,,,,,
Махачкала,603.5,Республика Дагестан,,,,,,
Хасавюрт,145.1,Республика Дагестан,,,,,,
Южно-Сухокумск,10.7,Республика Дагестан,,,,,,
Карабулак,42.7,Республика Ингушетия,,,,,,
Магас,12.2,Республика Ингушетия,,,,,,
Малгобек,38.6,Республика Ингушетия,,,,,,
Назрань,122.3,Республика Ингушетия,,,,,,
Сунжа,66.3,Республика Ингушетия,,,,,,
Городовиковск,8.6,Республика Калмыкия,,,,,,
Лагань,12.8,Республика Калмыкия,,,,,,
Элиста,103.1,Республика Калмыкия,,,,,,
Беломорск,9.2,Республика Карелия,,,,,,
Кемь,10.6,Республика Карелия,,,,,,
Кондопога,29.2,Республика Карелия,,,,,,
Костомукша,29.6,Республика Карелия,,,,,,
Лахденпохья,7.1,Республика Карелия,,,,,,
Медвежьегорск,14.1,Республика Карелия,,,,,,
Олонец,8.0,Республика Карелия,,,,,,
Петрозаводск,281.0,Республика Карелия,,,,,,
Питкяранта,10.2,Республика Карелия,,,,,,
Пудож,8.6,Республика Карелия,,,,,,
Сегежа,26.0,Республика Карелия,,,,,,
Сортавала,18.8,Республика Карелия,,,,,,
Суоярви,8.7,Республика Карелия,,,,,,
Воркута,52.8,Республика Коми,,,,,,
Вуктыл,9.7,Республика Коми,,,,,,
Емва,12.4,Республика Коми,,,,,,
Инта,24.1,Республика Коми,,,,,,
Микунь,9.6,Республика Коми,,,,,,
Печора,38.2,Республика Коми,,,,,,
Сосногорск,26.0,Республика Коми,,,,,,
Сыктывкар,244.4,Республика Коми,,,,,,
Усинск,37.2,Республика Коми,,,,,,
Ухта,93.7,Республика Коми,,,,,,
Алупка,8.0,Республика Крым,,,,,,
Алушта,30.0,Республика Крым,,,,,,
Армянск,21.4,Республика Крым,,,,,,
Бахчисарай,26.7,Республика Крым,,,,,,
Белогорск,16.4,Республика Крым,,,,,,
Джанкой,38.0,Республика Крым,,,,,,
Евпатория,108.2,Республика Крым,,,,,,
Керчь,151.5,Республика Крым,,,,,,
Красноперекопск,24.9,Республика Крым,,,,,,
Саки,24.7,Республика Крым,,,,,,
Симферополь,342.0,Республика Крым,,,,,,
Старый Крым,9.5,Республика Крым,,,,,,
Судак,16.5,Республика Крым,,,,,,
Феодосия,68.0,Республика Крым,,,,,,
Щелкино,10.2,Республика Крым,,,,,,
Ялта,79.0,Республика Крым,,,,,,
Волжск,53.2,Республика Марий Эл,,,,,,
Звенигово,10.9,Республика Марий Эл,,,,,,
Йошкар-Ола,274.7,Республика Марий Эл,,,,,,
Козьмодемьянск,20.1,Республика Марий Эл,,,,,,
Ардатов,8.3,Республика Мордовия,,,,,,
Инсар,7.7,Республика Мордовия,,,,,,
Ковылкино,18.9,Республика Мордовия,,,,,,
Краснослободск,9.2,Республика Мордовия,,,,,,
Рузаевка,44.3,Республика Мордовия,,,,,,
Саранск,320.6,Республика Мордовия,,,,,,
Темников,5.8,Республика Мордовия,,,,,,
Алдан,20.6,Республика Саха (Якутия),,,,,,
Верхоянск,1.1,Республика Саха (Якутия),,,,,,
Вилюйск,11.3,Республика Саха (Якутия),,,,,,
Ленск,23.2,Республика Саха (Якутия),,,,,,
Мирный,35.4,Республика Саха (Якутия),,,,,,
Нерюнгри,57.9,Республика Саха (Якутия),,,,,,
Нюрба,9.7,Республика Саха (Якутия),,,,,,
Олекминск,9.2,Республика Саха (Якутия),,,,,,
Покровск,9.4,Республика Саха (Якутия),,,,,,
Среднеколымск,3.5,Республика Саха (Якутия),,,,,,
Томмот,6.8,Республика Саха (Якутия),,,,,,
Удачный,12.0,Республика Саха (Якутия),,,,,,
Якутск,323.0,Республика Саха (Якутия),,,,,,
Алагир,19.7,Республика Северная Осетия – Алания,,,,,,
Ардон,19.3,Республика Северная Осетия – Алания,,,,,,
Беслан,37.4,Республика Северная Осетия – Алания,,,,,,
Владикавказ,303.6,Республика Северная Осетия – Алания,,,,,,
Дигора,10.1,Республика Северная Осетия – Алания,,,,,,
Моздок,42.0,Республика Северная Осетия – Алания,,,,,,
Агрыз,19.7,Республика Татарстан,,,,,,
Азнакаево,34.2,Республика Татарстан,,,,,,
Альметьевск,158.4,Республика Татарстан,,,,,,
Арск,20.4,Республика Татарстан,,,,,,
Бавлы,22.2,Республика Татарстан,,,,,,
Болгар,8.2,Республика Татарстан,,,,,,
Бугульма,82.5,Республика Татарстан,,,,,,
Буинск,20.4,Республика Татарстан,,,,,,
Елабуга,74.0,Республика Татарстан,,,,,,
Заинск,39.6,Республика Татарстан,,,,,,
Зеленодольск,100.0,Республика Татарстан,,,,,,
Иннополис,0.4,Республика Татарстан,,,,,,
Казань,1257.4,Республика Татарстан,,,,,,
Кукмор,17.8,Республика Татарстан,,,,,,
Лаишево,8.8,Республика Татарстан,,,,,,
Лениногорск,61.7,Республика Татарстан,,,,,,
Мамадыш,15.9,Республика Татарстан,,,,,,
Менделеевск,22.1,Республика Татарстан,,,,,,
Мензелинск,16.9,Республика Татарстан,,,,,,
Набережные Челны,533.8,Республика Татарстан,,,,,,
Нижнекамск,240.0,Республика Татарстан,,,,,,
Нурлат,32.0,Республика Татарстан,,,,,,
Тетюши,11.0,Республика Татарстан,,,,,,
Чистополь,59.4,Республика Татарстан,,,,,,
Ак-Довурак,13.6,Республика Тыва,,,,,,
Кызыл,119.4,Республика Тыва,,,,,,
Туран,4.9,Республика Тыва,,,,,,
Чадан,9.4,Республика Тыва,,,,,,
Шагонар,11.2,Республика Тыва,,,,,,
Абаза,15.0,Республика Хакасия,,,,,,
Абакан,186.8,Республика Хакасия,,,,,,
Саяногорск,46.0,Республика Хакасия,,,,,,
Сорск,11.2,Республика Хакасия,,,,,,
Черногорск,75.4,Республика Хакасия,,,,,,
Азов,80.4,Ростовская область,,,,,,
Аксай,46.0,Ростовская область,,,,,,
Батайск,127.9,Ростовская область,,,,,,
Белая Калитва,39.3,Ростовская область,,,,,,
Волгодонск,171.4,Ростовская область,,,,,,
Гуково,63.2,Ростовская область,,,,,,
Донецк,46.7,Ростовская область,,,,,,
Зверево,18.0,Ростовская область,,,,,,
Зерноград,24.1,Ростовская область,,,,,,
Каменск-Шахтинский,87.8,Ростовская область,,,,,,
Константиновск,16.9,Ростовская область,,,,,,
Красный Сулин,37.6,Ростовская область,,,,,,
Миллерово,34.5,Ростовская область,,,,,,
Морозовск,24.6,Ростовская область,,,,,,
Новочеркасск,168.0,Ростовская область,,,,,,
Новошахтинск,106.6,Ростовская область,,,,,,
Пролетарск,18.7,Ростовская область,,,,,,
Ростов-на-Дону,1137.9,Ростовская область,,,,,,
Сальск,56.8,Ростовская область,,,,,,
Семикаракорск,21.9,Ростовская область,,,,,,
Таганрог,248.6,Ростовская область,,,,,,
Цимлянск,14.4,Ростовская область,,,,,,
Шахты,230.3,Ростовская область,,,,,,
Касимов,29.2,Рязанская область,,,,,,
Кораблино,11.1,Рязанская область,,,,,,
Михайлов,9.9,Рязанская область,,,,,,
Новомичуринск,16.5,Рязанская область,,,,,,
Рыбное,20.7,Рязанская область,,,,,,
Ряжск,20.9,Рязанская область,,,,,,
Рязань,539.3,Рязанская область,,,,,,
Сасово,23.8,Рязанская область,,,,,,
Скопин,25.7,Рязанская область,,,,,,
Спас-Клепики,5.2,Рязанская область,,,,,,
Спасск-Рязанский,6.6,Рязанская область,,,,,,
Шацк,5.8,Рязанская область,,,,,,
Жигулевск,51.6,Самарская область,,,,,,
Кинель,35.8,Самарская область,,,,,,
Нефтегорск,17.9,Самарская область,,,,,,
Новокуйбышевск,100.5,Самарская область,,,,,,
Октябрьск,26.3,Самарская область,,,,,,
Отрадный,47.1,Самарская область,,,,,,
Похвистнево,27.9,Самарская область,,,,,,
Самара,1156.7,Самарская область,,,,,,
Сызрань,167.1,Самарская область,,,,,,
Тольятти,699.4,Самарская область,,,,,,
Чапаевск,71.7,Самарская область,,,,,,
Санкт-Петербург,5384.3,Санкт-Петербург,,,,,,
Аркадак,11.5,Саратовская область,,,,,,
Аткарск,24.1,Саратовская область,,,,,,
Балаково,187.5,Саратовская область,,,,,,
Балашов,75.8,Саратовская область,,,,,,
Вольск,61.9,Саратовская область,,,,,,
Ершов,18.8,Саратовская область,,,,,,
Калининск,15.6,Саратовская область,,,,,,
Красноармейск,22.3,Саратовская область,,,,,,
Красный Кут,14.1,Саратовская область,,,,,,
Маркс,30.0,Саратовская область,,,,,,
Новоузенск,15.1,Саратовская область,,,,,,
Петровск,28.2,Саратовская область,,,,,,
Пугачев,40.6,Саратовская область,,,,,,
Ртищево,38.4,Саратовская область,,,,,,
Саратов,838.0,Саратовская область,,,,,,
Хвалынск,12.3,Саратовская область,,,,,,
Шиханы,5.4,Саратовская область,,,,,,
Энгельс,227.0,Саратовская область,,,,,,
Александровск-Сахалинский,9.1,Сахалинская область,,,,,,
Анива,9.4,Сахалинская область,,,,,,
Долинск,11.9,Сахалинская область,,,,,,
Корсаков,34.0,Сахалинская область,,,,,,
Курильск,1.5,Сахалинская область,,,,,,
Макаров,6.3,Сахалинская область,,,,,,
Невельск,9.8,Сахалинская область,,,,,,
Оха,20.0,Сахалинская область,,,,,,
Поронайск,15.6,Сахалинская область,,,,,,
Северо-Курильск,2.6,Сахалинская область,,,,,,
Томари,3.8,Сахалинская область,,,,,,
Углегорск,8.7,Сахалинская область,,,,,,
Холмск,27.1,Сахалинская область,,,,,,
Южно-Сахалинск,200.6,Сахалинская область,,,,,,
Алапаевск,37.1,Свердловская область,,,,,,
Арамиль,15.4,Свердловская область,,,,,,
Артемовский,30.1,Свердловская область,,,,,,
Асбест,62.9,Свердловская область,,,,,,
Березовский,59.0,Свердловская область,,,,,,
Богданович,29.3,Свердловская область,,,,,,
Верхний Тагил,10.5,Свердловская область,,,,,,
Верхняя Пышма,72.7,Свердловская область,,,,,,
Верхняя Салда,41.2,Свердловская область,,,,,,
Верхняя Тура,9.0,Свердловская область,,,,,,
Верхотурье,8.6,Свердловская область,,,,,,
Волчанск,8.5,Свердловская область,,,,,,
Дегтярск,15.6,Свердловская область,,,,,,
Екатеринбург,1493.7,Свердловская область,,,,,,
Заречный,27.9,Свердловская область,,,,,,
Ивдель,15.4,Свердловская область,,,,,,
Ирбит,36.5,Свердловская область,,,,,,
Каменск-Уральский,166.1,Свердловская область,,,,,,
Камышлов,25.8,Свердловская область,,,,,,
Карпинск,25.9,Свердловская область,,,,,,
Качканар,38.1,Свердловская область,,,,,,
Кировград,18.7,Свердловская область,,,,,,
Краснотурьинск,56.3,Свердловская область,,,,,,
Красноуральск,22.5,Свердловская область,,,,,,
Красноуфимск,37.7,Свердловская область,,,,,,
Кушва,27.2,Свердловская область,,,,,,
Лесной,49.3,Свердловская область,,,,,,
Михайловск,8.8,Свердловская область,,,,,,
Невьянск,22.8,Свердловская область,,,,,,
Нижние Серги,9.0,Свердловская область,,,,,,
Нижний Тагил,349.0,Свердловская область,,,,,,
Нижняя Салда,17.3,Свердловская область,,,,,,
Нижняя Тура,19.4,Свердловская область,,,,,,
Новая Ляля,11.6,Свердловская область,,,,,,
Новоуральск,80.4,Свердловская область,,,,,,
Первоуральск,120.8,Свердловская область,,,,,,
Полевской,61.0,Свердловская область,,,,,,
Ревда,61.5,Свердловская область,,,,,,
Реж,36.8,Свердловская область,,,,,,
Североуральск,25.6,Свердловская область,,,,,,
Серов,95.9,Свердловская область,,,,,,
Среднеуральск,23.7,Свердловская область,,,,,,
Сухой Лог,33.4,Свердловская область,,,,,,
Сысерть,21.0,Свердловская область,,,,,,
Тавда,32.6,Свердловская область,,,,,,
Талица,15.6,Свердловская область,,,,,,
Туринск,17.1,Свердловская область,,,,,,
Севастополь,510.0,Севастополь,,,,,,
Велиж,6.6,Смоленская область,,,,,,
Вязьма,52.3,Смоленская область,,,,,,
Гагарин,28.9,Смоленская область,,,,,,
Демидов,6.1,Смоленская область,,,,,,
Десногорск,27.2,Смоленская область,,,,,,
Дорогобуж,9.4,Смоленская область,,,,,,
Духовщина,3.9,Смоленская область,,,,,,
Ельня,8.7,Смоленская область,,,,,,
Починок,8.3,Смоленская область,,,,,,
Рославль,48.9,Смоленская область,,,,,,
Рудня,9.5,Смоленская область,,,,,,
Сафоново,41.1,Смоленская область,,,,,,
Смоленск,325.5,Смоленская область,,,,,,
Сычевка,8.3,Смоленская область,,,,,,
Ярцево,42.7,Смоленская область,,,,,,
Благодарный,30.4,Ставропольский край,,,,,,
Буденновск,61.3,Ставропольский край,,,,,,
Георгиевск,66.4,Ставропольский край,,,,,,
Ессентуки,113.1,Ставропольский край,,,,,,
Железноводск,24.9,Ставропольский край,,,,,,
Зеленокумск,34.1,Ставропольский край,,,,,,
Изобильный,37.8,Ставропольский край,,,,,,
Ипатово,23.2,Ставропольский край,,,,,,
Кисловодск,128.8,Ставропольский край,,,,,,
Лермонтов,22.9,Ставропольский край,,,,,,
Минеральные Воды,73.9,Ставропольский край,,,,,,
Михайловск,95.7,Ставропольский край,,,,,,
Невинномысск,116.7,Ставропольский край,,,,,,
Нефтекумск,24.4,Ставропольский край,,,,,,
Новоалександровск,26.5,Ставропольский край,,,,,,
Новопавловск,26.1,Ставропольский край,,,,,,
Пятигорск,147.9,Ставропольский край,,,,,,
Светлоград,35.4,Ставропольский край,,,,,,
Ставрополь,450.7,Ставропольский край,,,,,,
Жердевка,14.0,Тамбовская область,,,,,,
Кирсанов,16.1,Тамбовская область,,,,,,
Котовск,28.9,Тамбовская область,,,,,,
Мичуринск,90.7,Тамбовская область,,,,,,
Моршанск,38.0,Тамбовская область,,,,,,
Рассказово,42.7,Тамбовская область,,,,,,
Тамбов,292.1,Тамбовская область,,,,,,
Уварово,23.1,Тамбовская область,,,,,,
Андреаполь,6.8,Тверская область,,,,,,
Бежецк,20.4,Тверская область,,,,,,
Белый,3.1,Тверская область,,,,,,
Бологое,20.5,Тверская область,,,,,,
Весьегонск,6.0,Тверская область,,,,,,
Вышний Волочек,45.5,Тверская область,,,,,,
Западная Двина,7.8,Тверская область,,,,,,
Зубцов,6.1,Тверская область,,,,,,
Калязин,12.3,Тверская область,,,,,,
Кашин,13.8,Тверская область,,,,,,
Кимры,43.2,Тверская область,,,,,,
Конаково,36.5,Тверская область,,,,,,
Красный Холм,5.0,Тверская область,,,,,,
Кувшиново,8.9,Тверская область,,,,,,
Лихославль,11.4,Тверская область,,,,,,
Нелидово,18.1,Тверская область,,,,,,
Осташков,15.4,Тверская область,,,,,,
Ржев,57.5,Тверская область,,,,,,
Старица,7.4,Тверская область,,,,,,
Тверь,425.1,Тверская область,,,,,,
Торжок,44.4,Тверская область,,,,,,
Торопец,11.8,Тверская область,,,,,,
Удомля,27.2,Тверская область,,,,,,
Асино,24.4,Томская область,,,,,,
Кедровый,1.9,Томская область,,,,,,
Колпашево,22.9,Томская область,,,,,,
Северск,106.5,Томская область,,,,,,
Стрежевой,40.8,Томская область,,,,,,
Томск,576.6,Томская область,,,,,,
Алексин,57.5,Тульская область,,,,,,
Белев,12.6,Тульская область,,,,,,
Богородицк,30.4,Тульская область,,,,,,
Болохово,8.8,Тульская область,,,,,,
Венев,13.9,Тульская область,,,,,,
Донской,62.6,Тульская область,,,,,,
Ефремов,34.4,Тульская область,,,,,,
Кимовск,25.6,Тульская область,,,,,,
Киреевск,26.3,Тульская область,,,,,,
Липки,8.1,Тульская область,,,,,,
Новомосковск,122.3,Тульская область,,,,,,
Плавск,15.7,Тульская область,,,,,,
Советск,7.3,Тульская область,,,,,,
Суворов,17.2,Тульская область,,,,,,
Тула,475.2,Тульская область,,,,,,
Узловая,49.7,Тульская область,,,,,,
Чекалин,0.9,Тульская область,,,,,,
Щекино,57.1,Тульская область,,,,,,
Ясногорск,15.4,Тульская область,,,,,,
Белоярский,19.6,Тюменская область,,,,,,
Губкинский,29.2,Тюменская область,,,,,,
Заводоуковск,26.5,Тюменская область,,,,,,
Ишим,64.4,Тюменская область,,,,,,
Когалым,67.7,Тюменская область,,,,,,
Лабытнанги,26.3,Тюменская область,,,,,,
Лангепас,44.6,Тюменская область,,,,,,
Лянтор,41.2,Тюменская область,,,,,,
Мегион,46.6,Тюменская область,,,,,,
Муравленко,31.6,Тюменская область,,,,,,
Надым,44.8,Тюменская область,,,,,,
Нефтеюганск,127.3,Тюменская область,,,,,,
Нижневартовск,277.7,Тюменская область,,,,,,
Новый Уренгой,118.0,Тюменская область,,,,,,
Ноябрьск,106.9,Тюменская область,,,,,,
Нягань,58.6,Тюменская область,,,,,,
Покачи,18.1,Тюменская область,,,,,,
Пыть-Ях,39.6,Тюменская область,,,,,,
Радужный,43.7,Тюменская область,,,,,,
Салехард,51.0,Тюменская область,,,,,,
Советский,29.3,Тюменская область,,,,,,
Сургут,380.6,Тюменская область,,,,,,
Тарко-Сале,21.5,Тюменская область,,,,,,
Тобольск,98.9,Тюменская область,,,,,,
Тюмень,807.3,Тюменская область,,,,,,
Урай,40.5,Тюменская область,,,,,,
Ханты-Мансийск,101.5,Тюменская область,,,,,,
Югорск,38.0,Тюменская область,,,,,,
Ялуторовск,40.3,Тюменская область,,,,,,
Воткинск,97.2,Удмуртская Республика,,,,,,
Глазов,92.3,Удмуртская Республика,,,,,,
Ижевск,648.1,Удмуртская Республика,,,,,,
Камбарка,10.1,Удмуртская Республика,,,,,,
Можга,49.0,Удмуртская Республика,,,,,,
Сарапул,95.4,Удмуртская Республика,,,,,,
Барыш,15.5,Ульяновская область,,,,,,
Димитровград,113.5,Ульяновская область,,,,,,
Инза,17.2,Ульяновская область,,,,,,
Новоульяновск,13.8,Ульяновская область,,,,,,
Сенгилей,6.2,Ульяновская область,,,,,,
Ульяновск,627.7,Ульяновская область,,,,,,
Амурск,38.9,Хабаровский край,,,,,,
Бикин,16.1,Хабаровский край,,,,,,
Вяземский,13.0,Хабаровский край,,,,,,
Комсомольск-на-Амуре,244.8,Хабаровский край,,,,,,
Николаевск-на-Амуре,17.9,Хабаровский край,,,,,,
Советская Гавань,23.6,Хабаровский край,,,,,,
Хабаровск,616.4,Хабаровский край,,,,,,
Аша,29.1,Челябинская область,,,,,,
Бакал,18.7,Челябинская область,,,,,,
Верхнеуральск,9.3,Челябинская область,,,,,,
Верхний Уфалей,26.7,Челябинская область,,,,,,
Еманжелинск,28.2,Челябинская область,,,,,,
Златоуст,163.9,Челябинская область,,,,,,
Карабаш,10.8,Челябинская область,,,,,,
Карталы,28.2,Челябинская область,,,,,,
Касли,15.7,Челябинская область,,,,,,
Катав-Ивановск,15.5,Челябинская область,,,,,,
Копейск,147.6,Челябинская область,,,,,,
Коркино,34.0,Челябинская область,,,,,,
Куса,16.7,Челябинская область,,,,,,
Кыштым,36.2,Челябинская область,,,,,,
Магнитогорск,413.3,Челябинская область,,,,,,
Миасс,151.5,Челябинская область,,,,,,
Миньяр,8.9,Челябинская область,,,,,,
Нязепетровск,11.4,Челябинская область,,,,,,
Озерск,78.4,Челябинская область,,,,,,
Пласт,17.3,Челябинская область,,,,,,
Сатка,41.3,Челябинская область,,,,,,
Сим,12.5,Челябинская область,,,,,,
Снежинск,51.8,Челябинская область,,,,,,
Трехгорный,32.7,Челябинская область,,,,,,
Троицк,73.4,Челябинская область,,,,,,
Усть-Катав,21.8,Челябинская область,,,,,,
Чебаркуль,41.3,Челябинская область,,,,,,
Челябинск,1196.7,Челябинская область,,,,,,
Южноуральск,37.6,Челябинская область,,,,,,
Юрюзань,10.9,Челябинская область,,,,,,
Аргун,39.3,Чеченская Республика,,,,,,
Грозный,305.9,Чеченская Республика,,,,,,
Гудермес,55.9,Чеченская Республика,,,,,,
Курчалой,26.6,Чеченская Республика,,,,,,
Урус-Мартан,62.7,Чеченская Республика,,,,,,
Шали,55.1,Чеченская Республика,,,,,,
Алатырь,33.8,Чувашская Республика,,,,,,
Канаш,44.8,Чувашская Республика,,,,,,
Козловка,8.6,Чувашская Республика,,,,,,
Мариинский Посад,8.5,Чувашская Республика,,,,,,
Новочебоксарск,127.2,Чувашская Республика,,,,,,
Цивильск,15.0,Чувашская Республика,,,,,,
Чебоксары,497.6,Чувашская Республика,,,,,,
Шумерля,28.4,Чувашская Республика,,,,,,
Ядрин,8.2,Чувашская Республика,,,,,,
Анадырь,15.8,Чукотский автономный округ,,,,,,
Билибино,5.5,Чукотский автономный округ,,,,,,
Певек,4.5,Чукотский автономный округ,,,,,,
Гаврилов-Ям,16.5,Ярославская область,,,,,,
Данилов,14.5,Ярославская область,,,,,,
Любим,5.0,Ярославская область,,,,,,
Мышкин,5.5,Ярославская область,,,,,,
Переславль-Залесский,37.9,Ярославская область,,,,,,
Пошехонье,5.7,Ярославская область,,,,,,
Ростов,30.5,Ярославская область,,,,,,
Рыбинск,184.6,Ярославская область,,,,,,
Тутаев,39.8,Ярославская область,,,,,,
Углич,31.8,Ярославская область,,,,,,
Ярославль,608.4,Ярославская область,,,,,,
